,Postcode,State,Municipality,City,Settlement
172,14430,Ciudad de México,Tlalpan,Ciudad de México,Tlalcoligia
173,14438,Ciudad de México,Tlalpan,Ciudad de México,Pedregal de Santa Úrsula Xitla
174,14439,Ciudad de México,Tlalpan,Ciudad de México,Pedregal de las Águilas
175,14440,Ciudad de México,Tlalpan,Ciudad de México,Los Volcanes
176,14449,Ciudad de México,Tlalpan,Ciudad de México,El Mirador 1A Sección
177,14449,Ciudad de México,Tlalpan,Ciudad de México,El Mirador 2A Sección
178,14449,Ciudad de México,Tlalpan,Ciudad de México,El Mirador 3A Sección
179,14456,Ciudad de México,Tlalpan,Ciudad de México,Atocpa
180,14460,Ciudad de México,Tlalpan,Ciudad de México,Tlalpuente
181,14470,Ciudad de México,Tlalpan,Ciudad de México,Plan de Ayala
182,14476,Ciudad de México,Tlalpan,Ciudad de México,La Palma
183,14479,Ciudad de México,Tlalpan,Ciudad de México,Viveros Coatectlán
184,14480,Ciudad de México,Tlalpan,Ciudad de México,La Magdalena Petlacalco
185,14490,Ciudad de México,Tlalpan,Ciudad de México,San Miguel Xicalco
186,14500,Ciudad de México,Tlalpan,Ciudad de México,San Miguel Topilejo
187,14520,Ciudad de México,Tlalpan,Ciudad de México,La Quinta
188,14529,Ciudad de México,Tlalpan,Ciudad de México,Estación Ajusco
189,14550,Ciudad de México,Tlalpan,Ciudad de México,Estrella Mora
190,14600,Ciudad de México,Tlalpan,Ciudad de México,Valle Escondido
191,14608,Ciudad de México,Tlalpan,Ciudad de México,Colinas del Bosque
192,14609,Ciudad de México,Tlalpan,Ciudad de México,Las Tórtolas
193,14610,Ciudad de México,Tlalpan,Ciudad de México,Arenal Tepepan
194,14620,Ciudad de México,Tlalpan,Ciudad de México,Club de Golf México
195,14629,Ciudad de México,Tlalpan,Ciudad de México,San Buenaventura
196,14630,Ciudad de México,Tlalpan,Ciudad de México,Chimalcoyoc
197,14630,Ciudad de México,Tlalpan,Ciudad de México,Villa Tlalpan
198,14640,Ciudad de México,Tlalpan,Ciudad de México,Ejidos de San Pedro Mártir
199,14643,Ciudad de México,Tlalpan,Ciudad de México,Fuentes de Tepepan
200,14646,Ciudad de México,Tlalpan,Ciudad de México,Valle de Tepepan
201,14647,Ciudad de México,Tlalpan,Ciudad de México,Juventud Unida
202,14647,Ciudad de México,Tlalpan,Ciudad de México,Movimiento Organizado de Tlalpan
203,14647,Ciudad de México,Tlalpan,Ciudad de México,Rinconada El Mirador
204,14650,Ciudad de México,Tlalpan,Ciudad de México,San Pedro Mártir
205,14653,Ciudad de México,Tlalpan,Ciudad de México,Heróico Colegio Militar
206,14654,Ciudad de México,Tlalpan,Ciudad de México,La Magueyera
207,14654,Ciudad de México,Tlalpan,Ciudad de México,Dolores Tlali
208,14655,Ciudad de México,Tlalpan,Ciudad de México,Valle Verde o Lomas Verdes
209,14657,Ciudad de México,Tlalpan,Ciudad de México,Tlalmille
210,14658,Ciudad de México,Tlalpan,Ciudad de México,Mirador del Valle
211,14659,Ciudad de México,Tlalpan,Ciudad de México,María Esther Zuno de Echeverría
212,14700,Ciudad de México,Tlalpan,Ciudad de México,San Miguel Ajusco
213,14710,Ciudad de México,Tlalpan,Ciudad de México,Santo Tomas Ajusco
214,14720,Ciudad de México,Tlalpan,Ciudad de México,Belvedere Ajusco
215,14730,Ciudad de México,Tlalpan,Ciudad de México,Lomas de Cuilotepec
216,14734,Ciudad de México,Tlalpan,Ciudad de México,Zacatón
217,14735,Ciudad de México,Tlalpan,Ciudad de México,San Nicolás 2
218,14735,Ciudad de México,Tlalpan,Ciudad de México,Lomas de Tepemecatl
