,store_name,street_address,state_name,country_name,postcode,longitude,latitude,id
9309,Valle Dorado,"3130 Col. Valle Dorado, Blvd. Manuel Avita Camacho, Tlanepantla",DIF,MX,54020,-99.21,19.55,125
9310,City Center Esmeralda,"Via. Dr. Jimenez Cantu, Bosque Esmeralda, Atizapan de Zaragosa, Edo. Mex",DIF,MX,44279,-99.14,19.28,126
9311,Division del Norte,Division del Norte Ave 2590,DIF,MX,4120,-99.15,19.35,127
9312,Pilares,"Calle Pilares & Calle Pestalozzi, Coloni",DIF,MX,,-99.16,19.38,128
9313,MEX - Aeropuerto Cenca,"Av. Capitan Carlos Leon s/n, Sala E, Loc",DIF,MX,15620,-99.08,19.42,129
9314,Plaza America,"Benito Juarez No. 17 Local E, Colonia ExHacienda de Coapa",DIF,MX,4980,-99.14,19.31,130
9315,Ejercito Nacional,"Av. Ejercito Nacional # 579 P.B. 01, Col. Granada",DIF,MX,11520,-99.19,19.44,131
9316,San Jeronimo,"Av. Periferico Sur #, Centro Comercial San Jeronimo",DIF,MX,,-99.21,19.33,132
9317,Las Aguilas,"Calz. De los Leones #145, Locales 19 y 20 Col. Las Aguilas",DIF,MX,1710,-99.2,19.36,133
9318,Amsterdam,180 Sonora Avenue,DIF,MX,6170,-99.17,19.41,134
9319,Tecnoparque,Avenide Eje 5 Norte 990,DIF,MX,2230,-99.18,19.5,135
9320,Irrigacion,397 Avenue Miguel de Cervantes Saavedra,DIF,MX,11500,-98.96,19.22,136
9321,Torre Siglum,"Av. Insurgentes Sur No 1898 Local A, Col. Florida",DIF,MX,1030,-99.19,19.35,137
9322,MEX - Aeropuerto Sala Bravo,"Av. Capitan Carlos Leon s/n, Sala B",DIF,MX,15620,-99.08,19.44,138
9323,Parque Tezontle 1,1512 Avenue Canal de Tezontle,DIF,MX,9020,-99.08,19.38,139
9324,Parque Lindavista 2,"Colectores 13 No. 280, Col. Magdalena de las Salinas",DIF,MX,6600,-99.13,19.49,140
9325,Hospital Angeles Metropolitano,"Tlacotalpan No. 59, Col. Roma Sur",DIF,MX,6760,-99.17,19.41,141
